name,phone,email,address,region,country,started_using,subscribed,age
Emma Simpson,1-820-218-2223,sed@protonmail.net,589-9568 Lectus Av.,Xīběi,Spain,"Dec 17, 2021",No,11
Travis Johnson,(367) 911-3223,dolor.dapibus@yahoo.edu,295-5948 Quisque St.,Donetsk oblast,New Zealand,"Oct 23, 2021",Yes,17
Bertha Romero,(726) 558-5527,nascetur.ridiculus.mus@aol.org,Ap #933-448 At St.,Hidalgo,Costa Rica,"Mar 27, 2016",Yes,53
Salvador Goodman,1-607-730-4889,vel@hotmail.org,6815 Tellus Ave,Tamaulipas,Peru,"Jul 28, 2018",Yes,53
Nolan Ball,(846) 751-1547,mauris.a@icloud.org,3350 Tellus St.,Tarapacá,China,"Nov 18, 2022",Yes,24
Zachery Thompson,(438) 259-3282,fermentum.vel@google.net,7048 Iaculis Rd.,Gävleborgs län,China,"Sep 10, 2022",Yes,17
Cameron Strong,(687) 225-2881,amet.nulla.donec@hotmail.org,698-8786 Augue St.,Guainía,Sweden,"Dec 29, 2018",Yes,45
Isaac Conway,(853) 567-3463,quam.a.felis@protonmail.net,"P.O. Box 521, 7395 Adipiscing, St.",Basilicata,Chile,"Sep 16, 2022",Yes,56
Damian Mcintyre,1-573-250-6533,nulla.tincidunt@outlook.ca,Ap #216-3483 Metus Street,Loreto,Norway,"Mar 17, 2022",Yes,54
Margaret Valencia,1-862-903-9376,lorem@protonmail.com,3293 Magna Ave,Mpumalanga,Colombia,"Apr 1, 2017",Yes,13
Silas Henderson,1-686-623-6318,faucibus.ut@google.org,"P.O. Box 857, 7269 Cursus Rd.",Jammu and Kashmir,United Kingdom,"Feb 3, 2020",No,17
Brock Ratliff,(583) 320-3348,fringilla.donec.feugiat@yahoo.couk,Ap #381-2933 Sem Avenue,Punjab,Austria,"Apr 16, 2017",Yes,50
Mariko Hansen,(536) 899-1023,integer.aliquam@protonmail.edu,Ap #412-8632 Velit Av.,Odessa oblast,Turkey,"Sep 3, 2021",No,16
Miranda Shepherd,(974) 509-7064,orci.ut.semper@yahoo.com,"9986 Pharetra, St.",Paraíba,Italy,"Jul 29, 2021",Yes,44
